CUST_ID,DAT_CUST_OPEN,FLG_CUST_TYP,FLG_STAFF,NAM_CUST_FULL,NAM_CUSTADR_STATE,NAM_CUSTADR_CNTRY,DAT_BIRTH_CUST,FLG_MNT_STATUS,CUST_STATUS,AADHAAR_UPDATED_DAT
1145,2020-08-12,F,N,James Rogers,JAPAN,IN,2007-05-12,A,8,2020-08-12
1131,2020-02-19,E,Y,David Garrett,MAH,IN,2015-03-08,A,8,2020-02-19
1111,2021-01-19,C,N,Brandon Wood,PUN,AU,2010-08-12,A,8,2021-01-19
1031,2020-07-06,P,N,Joseph Johnson,BIHAR,IN,2005-02-19,U,8,2020-07-06
1071,2020-02-27,2,Y,Brian Smith,GOA,AU,2000-08-31,A,8,2020-02-27
1023,2020-10-20,1,Y,James Davis,WB,JAPAN,2008-09-20,U,8,2020-10-20
1054,2020-10-29,O,Y,James Scott,WB,US,2005-02-26,A,8,2020-10-29
1144,2020-07-30,D,Y,Thomas Richards,DELHI,AU,2015-05-06,A,8,2020-07-30
1016,2021-01-09,Y,N,Juan Roberts,MP,AU,2016-01-15,A,8,2021-01-09
1140,2020-12-10,A,N,James James,TN,AU,2011-07-15,A,8,2020-12-10
1123,2020-04-23,Y,Y,Dennis King,TOKYO,JAPAN,2003-07-15,A,8,2020-04-23
1116,2020-08-16,E,Y,Jonathan Gentry,MP,JAPAN,2009-09-25,A,8,2020-08-16
1003,2020-12-13,V,N,Andrew Hill,KERALA,JAPAN,2006-01-27,U,8,2020-12-13
1150,2020-08-30,20 ,N,Daniel Gonzalez,MP,IN,2000-09-09,A,8,2020-08-30
1006,2020-01-20,U,N,Jason Rodriguez,GOA,US,2013-07-21,A,8,2020-01-20
1034,2020-08-29,1,N,David Moore,GOA,JAPAN,2008-06-10,A,8,2020-08-29
1012,2020-03-08,3,N,Tim Reyes,KERALA,AU,2012-06-28,A,8,2020-03-08
1097,2020-04-13,A,Y,Ricardo Sanchez,JAPAN,IN,2003-10-22,A,8,2020-04-13
1029,2020-11-06,C,N,Daniel Thomas,HARYANA,AU,2017-06-06,A,8,2020-11-06
1108,2020-10-05,C,N,Danny Howard,MP,JAPAN,2009-08-11,U,8,2020-10-05
1138,2020-10-23,P,Y,John Farmer,WB,IN,2014-07-03,A,8,2020-10-23
1022,2020-08-05,Z,N,Matthew Williams DDS,TN,AU,2000-08-20,U,8,2020-08-05
1127,2020-06-07,1,Y,Matthew West,MAH,JAPAN,2012-01-05,A,8,2020-06-07
1124,2020-09-04,D,Y,Curtis Jordan,GUJ,AU,2019-03-21,U,8,2020-09-04
1000,2020-11-29,5,Y,Michael Garcia,KAR,AU,2014-11-24,A,8,2020-11-29
1132,2020-06-26,D,Y,Patrick Perez,JAPAN,US,2004-03-07,A,8,2020-06-26
1053,2020-01-29,Y,N,George Gutierrez,OR,JAPAN,2007-08-17,A,8,2020-01-29
1014,2021-01-11,A,N,Andre Williams,KAR,US,2019-05-06,A,8,2021-01-11
1110,2020-10-18,G,Y,Eric Pugh,GUJ,JAPAN,2007-02-01,A,8,2020-10-18
1050,2020-11-18,G,N,Darren Whitaker,TN,US,2014-05-01,A,8,2020-11-18
1104,2021-01-11,1,Y,John Vance,WB,AU,2002-08-18,U,8,2021-01-11
1126,2020-07-05,E,N,Jonathan Johnson,GUJ,US,2007-12-28,A,8,2020-07-05
1101,2020-09-25,H,Y,Adam Pham,TOKYO,US,2014-07-03,A,8,2020-09-25
1069,2020-04-25,H,Y,Mr. Kenneth Wilson DDS,HP,AU,2001-03-07,U,8,2020-04-25
1086,2020-08-01,20 ,Y,John Best,GUJ,IN,2012-06-05,A,8,2020-08-01
1134,2020-01-22,J,Y,Jeffrey Kaufman,MAH,AU,2021-10-08,A,8,2020-01-22
1047,2020-03-13,E,N,Dr. Alexander Smith,GUJ,IN,2000-12-23,U,8,2020-03-13
1026,2020-05-29,E,N,Eric Wu,GUJ,IN,2012-12-14,A,8,2020-05-29
1087,2020-10-01,E,Y,Jacob Young,JAPAN,JAPAN,2017-01-10,U,8,2020-10-01
1009,2020-11-11,Z,N,Benjamin Fischer,PUN,IN,2002-09-26,A,8,2020-11-11
1063,2020-11-16,P,N,Aaron Ramos,OR,JAPAN,2003-08-01,U,8,2020-11-16
1078,2020-04-20,D,Y,Matthew Butler,AP,IN,2000-10-15,U,8,2020-04-20
1038,2020-08-07,U,Y,Eric Valentine,GOA,US,2008-08-14,A,8,2020-08-07
1075,2020-07-06,U,Y,Gregory Hopkins,OR,IN,2007-07-19,U,8,2020-07-06
1129,2020-04-29,1,N,James Scott,GUJ,JAPAN,2002-12-08,U,8,2020-04-29
1045,2020-08-07,U,Y,James Figueroa,OR,JAPAN,2004-12-09,A,8,2020-08-07
1004,2020-05-23,Y,Y,Gregory Wallace,KAR,US,2015-08-21,U,8,2020-05-23
1099,2020-10-21,A,Y,Andre Wade,MP,JAPAN,2012-03-27,U,8,2020-10-21
1098,2020-12-23,2,N,Samuel Patton,OR,AU,2001-11-03,A,8,2020-12-23
1001,2020-03-28,U,N,Jack Hall,JAPAN,AU,2018-10-23,U,8,2020-03-28
1024,2020-12-16,4,Y,Ricardo Wilson,MAH,JAPAN,2009-12-22,A,8,2020-12-16
1057,2020-06-28,E,N,Paul Lee,GOA,IN,2017-11-26,A,8,2020-06-28
1015,2020-01-07,5,N,Dave Martin,OR,JAPAN,2001-11-19,U,8,2020-01-07
1052,2020-04-08,13 ,N,James Sexton,BIHAR,US,2006-10-05,A,8,2020-04-08
